_id,OCC_DATE,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN,geometry
170999,1470283200000,August,Thursday,2016,16,D22,,YES,NO,NO,158,Islington (158),-79.55554657991884,43.647287914364576,YES,NO,YES,NO,NO,"{""coordinates"": [[300318.9605298897, 4834150.989114833]], ""type"": ""MultiPoint""}"
705526,1727928000000,October,Thursday,2024,8,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
3228,1390021200000,January,Saturday,2014,17,D14,,NO,NO,YES,079,University (79),-79.41068193359884,43.663834007814685,YES,NO,NO,NO,NO,"{""coordinates"": [[312003.46608798194, 4835991.544956408]], ""type"": ""MultiPoint""}"
547405,1653364800000,May,Tuesday,2022,15,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
439082,1578459600000,January,Wednesday,2020,9,D55,,NO,NO,YES,062,East End-Danforth (62),-79.28843655606397,43.68042153802291,YES,NO,NO,NO,NO,"{""coordinates"": [[321857.80947971053, 4837852.205689716]], ""type"": ""MultiPoint""}"
56444,1416286800000,November,Tuesday,2014,17,D32,,YES,NO,NO,037,Willowdale West (37),-79.44092235196102,43.76545982380272,YES,NO,YES,NO,NO,"{""coordinates"": [[309556.54357048834, 4847279.541706803]], ""type"": ""MultiPoint""}"
658904,1706763600000,February,Thursday,2024,18,D31,1.0,NO,NO,NO,025,Glenfield-Jane Heights (25),-79.51365309661826,43.741235257083886,YES,NO,NO,NO,YES,"{""coordinates"": [[303700.29895825917, 4844586.675904985]], ""type"": ""MultiPoint""}"
34686,1405483200000,July,Wednesday,2014,7,D33,,NO,NO,YES,042,Banbury-Don Mills (42),-79.34686184312056,43.75008130790729,YES,NO,NO,NO,NO,"{""coordinates"": [[317132.83572243433, 4845580.744792851]], ""type"": ""MultiPoint""}"
439172,1578546000000,January,Thursday,2020,9,D33,,NO,NO,YES,040,St.Andrew-Windfields (40),-79.35371094713842,43.76029780994238,YES,NO,NO,NO,NO,"{""coordinates"": [[316579.2454287095, 4846714.764391097]], ""type"": ""MultiPoint""}"
499989,1625371200000,July,Sunday,2021,1,D42,1.0,NO,NO,NO,143,West Rouge (143),-79.14628569241182,43.79891615177653,YES,NO,NO,NO,NO,"{""coordinates"": [[333262.879944025, 4851055.5482761385]], ""type"": ""MultiPoint""}"
105736,1439265600000,August,Tuesday,2015,8,D43,,NO,NO,YES,139,Scarborough Village (139),-79.2189016837165,43.74317708571763,YES,NO,NO,NO,NO,"{""coordinates"": [[327440.5903595276, 4844840.715850405]], ""type"": ""MultiPoint""}"
103335,1438056000000,July,Tuesday,2015,8,D55,,NO,NO,YES,044,Flemingdon Park (44),-79.33198682919883,43.71943975205952,YES,NO,NO,NO,NO,"{""coordinates"": [[318337.6819465795, 4842178.912878271]], ""type"": ""MultiPoint""}"
787686,1765774800000,December,Monday,2025,18,D32,,NO,YES,NO,031,Yorkdale-Glen Park (31),-79.45130621630454,43.72365705515087,YES,NO,NO,NO,NO,"{""coordinates"": [[308723.23219743604, 4842634.871267727]], ""type"": ""MultiPoint""}"
139650,1455426000000,February,Sunday,2016,16,D43,,NO,NO,YES,136,West Hill (136),-79.18685400793791,43.77050679597814,YES,NO,YES,NO,NO,"{""coordinates"": [[330010.34081828216, 4847886.205141816]], ""type"": ""MultiPoint""}"
581580,1670648400000,December,Saturday,2022,17,D11,,NO,NO,YES,083,Dufferin Grove (83),-79.4370618209781,43.65521640563446,YES,NO,NO,NO,NO,"{""coordinates"": [[309876.6647928301, 4835032.225157244]], ""type"": ""MultiPoint""}"
556295,1657944000000,July,Saturday,2022,9,D42,,NO,NO,YES,128,Agincourt South-Malvern West (128),-79.25881393594842,43.789644067640666,YES,NO,NO,NO,NO,"{""coordinates"": [[324210.89262694307, 4849992.909581714]], ""type"": ""MultiPoint""}"
665813,1710129600000,March,Monday,2024,4,D32,1.0,NO,NO,NO,032,Englemount-Lawrence (32),-79.43762966829702,43.71750955875164,YES,NO,YES,NO,YES,"{""coordinates"": [[309825.6582196785, 4841952.64919431]], ""type"": ""MultiPoint""}"
463935,1596168000000,July,Friday,2020,10,D55,,NO,NO,YES,043,Victoria Village (43),-79.30318506236415,43.72304855755672,YES,NO,NO,NO,NO,"{""coordinates"": [[320657.4364089793, 4842584.942190034]], ""type"": ""MultiPoint""}"
386665,1557892800000,May,Wednesday,2019,8,D33,,NO,NO,YES,044,Flemingdon Park (44),-79.3325817281569,43.72078084808663,YES,NO,NO,NO,NO,"{""coordinates"": [[318289.44699392014, 4842327.80588976]], ""type"": ""MultiPoint""}"
653890,1704517200000,January,Saturday,2024,18,D31,,YES,NO,NO,027,York University Heights (27),-79.50075361075926,43.76337037347378,YES,NO,NO,NO,NO,"{""coordinates"": [[304739.3220885617, 4847045.714991374]], ""type"": ""MultiPoint""}"
567404,1663819200000,September,Thursday,2022,6,D31,,NO,NO,YES,025,Glenfield-Jane Heights (25),-79.51704361195162,43.75483178313826,YES,NO,NO,NO,NO,"{""coordinates"": [[303427.5175688654, 4846097.24903364]], ""type"": ""MultiPoint""}"
205429,1485234000000,January,Tuesday,2017,11,D32,,NO,NO,YES,034,Bathurst Manor (34),-79.43845112728326,43.75545597490076,YES,NO,NO,NO,NO,"{""coordinates"": [[309756.33610291925, 4846168.294390343]], ""type"": ""MultiPoint""}"
571417,1665806400000,October,Saturday,2022,10,D12,,NO,NO,YES,029,Maple Leaf (29),-79.48765434554822,43.70637125280654,YES,NO,NO,NO,NO,"{""coordinates"": [[305794.96870799025, 4840713.417059245]], ""type"": ""MultiPoint""}"
659493,1707109200000,February,Monday,2024,15,D53,,NO,NO,YES,174,South Eglinton-Davisville (174),-79.39457895333224,43.70501161642431,YES,NO,NO,NO,NO,"{""coordinates"": [[313296.3515444403, 4840567.694309639]], ""type"": ""MultiPoint""}"
605498,1682568000000,April,Thursday,2023,12,D42,,NO,NO,YES,144,Morningside Heights (144),-79.22100869438235,43.81978077496091,YES,NO,NO,NO,NO,"{""coordinates"": [[327242.2117571859, 4853350.576533213]], ""type"": ""MultiPoint""}"
52789,1414555200000,October,Wednesday,2014,15,D55,,NO,NO,YES,058,Old East York (58),-79.33636392953336,43.69760630194127,YES,NO,NO,NO,NO,"{""coordinates"": [[317989.78327928984, 4839752.6101791235]], ""type"": ""MultiPoint""}"
437759,1577768400000,December,Tuesday,2019,9,D53,,NO,NO,YES,095,Annex (95),-79.3894835474489,43.66970770955897,YES,NO,YES,NO,NO,"{""coordinates"": [[313712.2385027974, 4836646.140199222]], ""type"": ""MultiPoint""}"
650783,1702875600000,December,Monday,2023,17,D55,,NO,NO,YES,054,O'Connor-Parkview (54),-79.31282764830006,43.70539159071835,YES,NO,NO,NO,NO,"{""coordinates"": [[319884.95877431147, 4840621.531815675]], ""type"": ""MultiPoint""}"
437779,1577768400000,December,Tuesday,2019,21,D14,,YES,NO,NO,085,South Parkdale (85),-79.43456472181047,43.633383478469405,YES,NO,YES,NO,NO,"{""coordinates"": [[310079.9954843122, 4832606.869422528]], ""type"": ""MultiPoint""}"
665795,1710129600000,March,Monday,2024,19,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
356127,1546837200000,January,Monday,2019,20,D14,1.0,NO,NO,NO,085,South Parkdale (85),-79.43593862135249,43.64072698871864,YES,YES,NO,NO,YES,"{""coordinates"": [[309968.5056242073, 4833422.603357755]], ""type"": ""MultiPoint""}"
474017,1602820800000,October,Friday,2020,10,D32,,NO,NO,YES,153,Avondale (153),-79.40285990761409,43.763291988106,YES,NO,NO,NO,NO,"{""coordinates"": [[312621.3637052349, 4847041.592416732]], ""type"": ""MultiPoint""}"
293715,1522036800000,March,Monday,2018,7,D32,,NO,YES,YES,027,York University Heights (27),-79.47657882618283,43.76431665327561,YES,NO,NO,NO,NO,"{""coordinates"": [[306685.75475003966, 4847151.109728367]], ""type"": ""MultiPoint""}"
47648,1412136000000,October,Wednesday,2014,15,D12,,NO,NO,YES,029,Maple Leaf (29),-79.4859367407559,43.716265546574,YES,NO,NO,NO,NO,"{""coordinates"": [[305933.2085702478, 4841812.6506065745]], ""type"": ""MultiPoint""}"
1812,1389243600000,January,Thursday,2014,11,D55,,NO,NO,YES,070,South Riverdale (70),-79.33896488244099,43.65839251315954,YES,NO,NO,NO,NO,"{""coordinates"": [[317788.5910723182, 4835395.749132779]], ""type"": ""MultiPoint""}"
320761,1533268800000,August,Friday,2018,17,D52,,NO,NO,YES,078,Kensington-Chinatown (78),-79.39626253563942,43.6487715878752,YES,NO,NO,NO,NO,"{""coordinates"": [[313168.4762923132, 4834319.546650377]], ""type"": ""MultiPoint""}"
